well_no,site,index,state_depth,depth,pH,oxygen_18,chloride,sulfate,bicarbonate,sodium,potassiun,magnesium,calcium,alteration_degree,tds
11851,Võisiku,O-Cm,EST_Intermediate,315,8.3,-15.3,84,24,207,102,7,6,20,2.0,451
4486,Parnu,O-Cm,EST_Intermediate,400,7.9,-14.0,714,29,214,500,9,18,34,12.0,1518
3,Pernu,O-Cm,EST_Intermediate,420,,-13.7,788,25,317,555,,21,42,8.9,1748
7298,Viljandi,O-Cm,EST_Intermediate,420,8.2,-15.6,475,29,110,309,7,13,28,14.9,970
3950,Varska commune Varska,O-Cm,EST_Intermediate,485,7.9,-14.4,987,16,234,566,16,32,87,13.7,1939
SG-1,Pernu,Cm-V,EST_Intermediate,485,,-19.1,2414,25,182,1064,,85,365,38.3,4135
10836,Kuressaare**,O-Cm,EST_Intermediate,489,7.9,-17.3,2158,11,110,1053,19,65,321,59.2,3737
P-6,Pernu,Cm-V,EST_Intermediate,520,,-17.5,451,25,194,318,,10,36,8.3,1034
10835,Kuressaare**,O-Cm,EST_Intermediate,543,8.3,-17.6,2169,,110,1040,24,68,477,59.1,3887
8021,Haademeeste,O-Cm,EST_Intermediate,585,7.6,-13.7,1124,63,269,640,13,40,66,13.5,2216
,Varska,Cm-V,EST_Intermediate,600,6.7,-12.6,11109,246,186,5286,79,379,994,178.0,18279
22386,Sõitme,O-Cm,EST_Shallow,28,7.2,-11.7,4,,281,8,9,12,66,0.1,380
36,Pernu,D2-S2,EST_Shallow,30,,-12.1,403,29,433,270,8,94,403,3.3,1640
173,Pernu,S1,EST_Shallow,30,7.7,-10.6,544,94,392,228,15,98,118,3.9,1489
19016,Lüganuse,O-Cm,EST_Shallow,35,7.0,-15.5,37,56,287,66,15,15,44,0.8,518
4650,Loo,O-Cm,EST_Shallow,37,7.7,-12.8,5,24,348,18,8,26,80,0.2,508
766,Vääna,O-Cm,EST_Shallow,38,7.7,-15.3,22,14,323,41,7,23,45,0.5,476
1037,"Kuusalu commune, Kolgakula",O-Cm,EST_Shallow,40,7.4,-12.0,17,17,220,5,3,9,67,0.2,338
3688,"Haljala commune, Aaviku",O-Cm,EST_Shallow,40,7.3,-11.9,5,3,299,2,4,20,67,0.0,399
8140,"Nova commune, Nova",O-Cm,EST_Shallow,40,8.2,-22.4,14,25,165,38,5,11,22,0.8,279
15346,"Keila commune, Karjakula",O-Cm,EST_Shallow,40,7.3,-19.3,42,12,207,43,6,11,37,0.9,358
16413,"Padise commune, Vihterpalu",O-Cm,EST_Shallow,40,8.0,-20.3,39,13,183,45,7,12,26,1.0,325
337,Tallinn,V-Cm,EST_Shallow,137,8.3,-15.3,78,1,174,52,6,8,45,1.6,363
16702,Paldiski,O-Cm,EST_Shallow,46,7.7,-19.0,23,18,165,49,8,16,45,1.0,323
218,Tallinn,O-Cm,EST_Shallow,50,8.2,-11.3,8,1,146,11,6,11,24,0.3,207
574,Keila,O-Cm,EST_Shallow,50,8.0,-19.3,42,20,153,40,6,12,26,1.2,299
1333,"Padise commune, Harju-Risti",O-Cm,EST_Shallow,50,8.0,-19.8,59,15,177,64,7,14,25,1.5,362
2739,Rakvere,O-Cm,EST_Shallow,50,8.0,-14.7,22,0,232,45,9,16,26,0.7,350
